Datafile,Gene,chr,No,Region,Ingroup,Outgroup,n,Sites,NetSites,S,Eta,Hap,Hd,VarHd,Pi,VarPi,AvNumDif,ThetaNuc,ThetaG,ZnS,G+Cn,G+Gc,G+Ctot,TajimaD,SigD,FuLiD*,SigD,FuLiF*,SigF,FuFs
evm.TU.Chr2.143,rna-CPHLJ_2g810,Chr2,485,        1-450,23,0,23,450,450,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3889,0,0.3889,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.144,rna-CPHLJ_2g820,Chr2,486,        1-339,23,0,23,339,339,2,2,3,0.601,0.00285,0.002005,n.d.,0.6798,0.001598,0.5419,n.a.,0.4173,0,0.4173,0.568,n.s.,0.8437,n.s.,0.8835,n.s.,0.496
evm.TU.Chr2.145,rna-CPHLJ_2g830,Chr2,487,        1-663,23,0,23,663,663,1,1,2,0.3,0.01095,0.000453,n.d.,0.3004,0.000409,0.2709,n.a.,0.3321,0,0.3321,0.1858,n.s.,0.6287,n.s.,0.5844,n.s.,0.612
evm.TU.Chr2.146,rna-CPHLJ_2g840,Chr2,488,        1-782,23,0,23,782,782,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3171,0,0.3171,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.147,rna-CPHLJ_2g850,Chr2,489,        1-882,23,0,23,882,882,2,2,3,0.379,0.01359,0.000457,n.d.,0.4032,0.000614,0.5419,n.a.,0.3517,0,0.3517,-0.5711,n.s.,0.8437,n.s.,0.524,n.s.,-0.518
evm.TU.Chr2.148,rna-CPHLJ_2g860,Chr2,490,        1-633,23,0,23,633,633,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3918,0,0.3918,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.149,rna-CPHLJ_2g870,Chr2,491,        1-669,23,0,23,669,669,1,1,2,0.514,0.00168,0.000768,n.d.,0.5138,0.000405,0.2709,n.a.,0.3818,0,0.3818,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr2.150,rna-CPHLJ_2g880,Chr2,492,       1-1803,23,0,23,1803,1803,2,2,3,0.522,0.00843,0.000355,n.d.,0.6403,0.000301,0.5419,n.a.,0.3125,0,0.3125,0.4052,n.s.,0.8437,n.s.,0.8322,n.s.,0.372
evm.TU.Chr2.151,rna-CPHLJ_2g885,Chr2,493,        1-431,23,0,23,431,431,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3434,0,0.3434,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.152,rna-CPHLJ_2g890,Chr2,494,       1-1053,23,0,23,1053,1052,2,2,3,0.617,0.00395,0.000721,n.d.,0.7589,0.000515,0.5419,n.a.,0.3511,0,0.3511,0.8934,n.s.,0.8437,n.s.,0.9863,n.s.,0.729
evm.TU.Chr2.153,rna-CPHLJ_2g900,Chr2,495,       1-1831,23,0,23,1831,1831,5,5,7,0.842,0.0016,0.001028,n.d.,1.8814,0.00074,1.3547,0.1334,0.3904,0,0.3904,1.1406,n.s.,1.1708,n.s.,1.345,n.s.,-1.111
evm.TU.Chr2.154,rna-CPHLJ_2g910,Chr2,496,       1-1164,23,0,23,1164,1164,1,1,2,0.3,0.01095,0.000258,n.d.,0.3004,0.000233,0.2709,n.a.,0.3687,0,0.3687,0.1858,n.s.,0.6287,n.s.,0.5844,n.s.,0.612
evm.TU.Chr2.155,#N/A,Chr2,497,       1-3048,23,0,23,3048,3048,4,4,6,0.759,0.00345,0.000482,n.d.,1.4704,0.000356,1.0838,0.0999,0.3288,0,0.3288,0.9881,n.s.,1.0898,n.s.,1.226,n.s.,-0.903
evm.TU.Chr2.156,#N/A,Chr2,498,       1-3027,23,0,23,3027,3027,1,1,2,0.3,0.01095,0.000099,n.d.,0.3004,0.00009,0.2709,n.a.,0.337,0,0.337,0.1858,n.s.,0.6287,n.s.,0.5844,n.s.,0.612
evm.TU.Chr2.157,rna-CPHLJ_2g940,Chr2,499,       1-2973,23,0,23,2973,2973,9,9,9,0.87,0.00165,0.001093,n.d.,3.249,0.00082,2.4385,0.2259,0.3335,0,0.3335,1.1013,n.s.,1.3744,*   ,1.5041,#   ,-1.067
evm.TU.Chr2.158,rna-CPHLJ_2g950,Chr2,500,       1-1242,23,0,23,1242,1242,3,3,4,0.593,0.00922,0.000554,n.d.,0.6877,0.000654,0.8128,0.0207,0.2765,0,0.2765,-0.3923,n.s.,0.9855,n.s.,0.6935,n.s.,-0.72
evm.TU.Chr2.159,rna-CPHLJ_2g960,Chr2,501,       1-1551,23,0,23,1551,1551,4,4,6,0.814,0.00163,0.000958,n.d.,1.4862,0.000699,1.0838,0.1615,0.3224,0,0.3224,1.0285,n.s.,1.0898,n.s.,1.2392,n.s.,-0.872
evm.TU.Chr2.160,rna-CPHLJ_2g970,Chr2,502,       1-2140,23,0,23,2140,2140,6,6,5,0.791,0.00165,0.001005,n.d.,2.1502,0.00076,1.6257,0.2406,0.3068,0,0.3068,0.9874,n.s.,1.2361,n.s.,1.3495,n.s.,1.128
evm.TU.Chr2.161,rna-CPHLJ_2g980,Chr2,503,        1-618,23,0,23,618,618,1,1,2,0.356,0.00991,0.000576,n.d.,0.3557,0.000438,0.2709,n.a.,0.3628,0,0.3628,0.535,n.s.,0.6287,n.s.,0.692,n.s.,0.879
evm.TU.Chr2.162,rna-CPHLJ_2g990,Chr2,504,       1-1680,23,0,23,1680,1680,5,5,6,0.783,0.00358,0.000856,n.d.,1.4387,0.000806,1.3547,0.1648,0.3699,0,0.3699,0.1819,n.s.,1.1708,n.s.,1.0285,n.s.,-0.965
evm.TU.Chr2.163,rna-CPHLJ_2g1000,Chr2,505,       1-1740,23,0,23,1740,1740,1,1,2,0.237,0.01098,0.000136,n.d.,0.2372,0.000156,0.2709,n.a.,0.3861,0,0.3861,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.164,rna-CPHLJ_2g1020,Chr2,506,       1-1302,23,0,23,1302,1302,2,2,3,0.316,0.01386,0.000255,n.d.,0.332,0.000416,0.5419,n.a.,0.3786,0,0.3786,-0.864,n.s.,0.8437,n.s.,0.4315,n.s.,-0.872
evm.TU.Chr2.165,rna-CPHLJ_2g1030,Chr2,507,        1-960,23,0,23,960,960,2,2,3,0.439,0.01282,0.000494,n.d.,0.4743,0.000564,0.5419,n.a.,0.3854,0,0.3854,-0.2782,n.s.,0.8437,n.s.,0.6164,n.s.,-0.215
evm.TU.Chr2.166,rna-CPHLJ_2g1040,Chr2,508,        1-723,23,0,23,723,723,2,2,3,0.482,0.0105,0.000722,n.d.,0.5217,0.000749,0.5419,n.a.,0.3473,0,0.3473,-0.0829,n.s.,0.8437,n.s.,0.6781,n.s.,-0.033
evm.TU.Chr2.167,rna-CPHLJ_2g1050,Chr2,509,        1-903,23,0,23,903,903,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3311,0,0.3311,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.168,#N/A,Chr2,510,       1-1995,23,0,23,1995,1995,3,3,4,0.719,0.0031,0.000464,n.d.,0.9249,0.000407,0.8128,0.0527,0.3536,0,0.3536,0.3515,n.s.,0.9855,n.s.,0.9327,n.s.,-0.044
evm.TU.Chr2.169,rna-CPHLJ_2g1070,Chr2,511,        1-321,23,0,23,321,321,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4766,0,0.4766,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.170,rna-CPHLJ_2g1080,Chr2,512,       1-1725,23,0,23,1725,1725,2,2,3,0.435,0.01233,0.00033,n.d.,0.5692,0.000314,0.5419,n.a.,0.2785,0,0.2785,0.1123,n.s.,0.8437,n.s.,0.7397,n.s.,0.137
evm.TU.Chr2.171,rna-CPHLJ_2g1090,Chr2,513,       1-1530,23,0,23,1530,1530,1,1,2,0.403,0.00826,0.000264,n.d.,0.4032,0.000177,0.2709,n.a.,0.3407,0,0.3407,0.8343,n.s.,0.6287,n.s.,0.7843,n.s.,1.088
evm.TU.Chr2.172,rna-CPHLJ_2g1100,Chr2,514,       1-2895,23,0,23,2895,2895,3,3,3,0.609,0.00578,0.000347,n.d.,1.004,0.000281,0.8128,0.3829,0.3677,0,0.3677,0.5995,n.s.,0.9855,n.s.,1.0124,n.s.,1.371
evm.TU.Chr2.173,rna-CPHLJ_2g1110,Chr2,515,       1-1466,23,0,23,1466,1466,3,3,4,0.664,0.00582,0.000631,n.d.,0.9249,0.000554,0.8128,0.1582,0.3353,0,0.3353,0.3515,n.s.,0.9855,n.s.,0.9327,n.s.,-0.044
evm.TU.Chr2.174,rna-CPHLJ_2g1120,Chr2,516,       1-1485,23,0,23,1485,1485,1,1,2,0.237,0.01098,0.00016,n.d.,0.2372,0.000182,0.2709,n.a.,0.3536,0,0.3536,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.175,rna-CPHLJ_2g1130,Chr2,517,       1-2022,23,0,23,2022,2022,8,8,8,0.866,0.00202,0.001677,n.d.,3.3913,0.001072,2.1675,0.2935,0.2842,0,0.2842,1.8316,#   ,1.3355,#   ,1.7188,*   ,-0.116
evm.TU.Chr2.176,rna-CPHLJ_2g1140,Chr2,518,        1-975,23,0,23,975,975,2,2,3,0.632,0.00416,0.000762,n.d.,0.7431,0.000556,0.5419,n.a.,0.3427,0,0.3427,0.8283,n.s.,0.8437,n.s.,0.9657,n.s.,0.683
evm.TU.Chr2.177,rna-CPHLJ_2g1150,Chr2,519,       1-1005,23,0,23,1005,1005,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3791,0,0.3791,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.178,rna-CPHLJ_2g1160,Chr2,520,       1-2013,23,0,23,2013,2013,5,5,6,0.834,0.00136,0.000821,n.d.,1.6522,0.000673,1.3547,0.121,0.3478,0,0.3478,0.6441,n.s.,1.1708,n.s.,1.1811,n.s.,-0.572
evm.TU.Chr2.179,rna-CPHLJ_2g1170,Chr2,521,       1-1471,23,0,23,1471,1471,2,2,3,0.656,0.00237,0.000554,n.d.,0.8142,0.000368,0.5419,n.a.,0.3567,0,0.3567,1.1213,n.s.,0.8437,n.s.,1.0582,n.s.,0.883
evm.TU.Chr2.180,rna-CPHLJ_2g1190,Chr2,522,       1-1582,23,0,23,1582,1582,1,1,2,0.166,0.00952,0.000105,n.d.,0.166,0.000171,0.2709,n.a.,0.323,0,0.323,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr2.181,rna-CPHLJ_2g1200,Chr2,523,        1-924,23,0,23,924,924,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.342,0,0.342,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.182,rna-CPHLJ_2g1210,Chr2,524,        1-774,23,0,23,774,774,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3488,0,0.3488,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.183,rna-CPHLJ_2g1220,Chr2,525,       1-1692,23,0,23,1692,1692,4,4,5,0.791,0.00165,0.000673,n.d.,1.1383,0.000641,1.0838,0.0447,0.3318,0,0.3318,0.1395,n.s.,1.0898,n.s.,0.9492,n.s.,-0.604
evm.TU.Chr2.184,rna-CPHLJ_2g1230,Chr2,526,       1-2220,23,0,23,2220,2220,2,2,3,0.601,0.00285,0.00031,n.d.,0.6877,0.000244,0.5419,n.a.,0.3048,0,0.3048,0.6005,n.s.,0.8437,n.s.,0.8938,n.s.,0.52
evm.TU.Chr2.185,rna-CPHLJ_2g1240,Chr2,527,       1-1236,23,0,23,1236,1236,1,1,2,0.166,0.00952,0.000134,n.d.,0.166,0.000219,0.2709,n.a.,0.2978,0,0.2978,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr2.186,rna-CPHLJ_2g1250,Chr2,528,       1-2627,23,0,23,2627,2627,1,1,2,0.403,0.00826,0.000153,n.d.,0.4032,0.000103,0.2709,n.a.,0.3638,0,0.3638,0.8343,n.s.,0.6287,n.s.,0.7843,n.s.,1.088
evm.TU.Chr2.187,rna-CPHLJ_2g1260,Chr2,529,       1-2415,23,0,23,2415,2415,3,3,4,0.759,0.00156,0.000462,n.d.,1.1146,0.000337,0.8128,0.1071,0.2934,0,0.2934,0.9466,n.s.,0.9855,n.s.,1.124,n.s.,0.4
evm.TU.Chr2.188,rna-CPHLJ_2g1270,Chr2,530,       1-2478,23,0,23,2478,2477,1,1,2,0.514,0.00168,0.000207,n.d.,0.5138,0.000109,0.2709,n.a.,0.3211,0,0.3211,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr2.189,rna-CPHLJ_2g1280,Chr2,531,       1-2019,23,0,23,2019,2019,2,2,3,0.534,0.00932,0.000352,n.d.,0.7115,0.000268,0.5419,n.a.,0.346,0,0.346,0.6982,n.s.,0.8437,n.s.,0.9246,n.s.,0.591
evm.TU.Chr2.190,rna-CPHLJ_2g1290,Chr2,532,       1-1242,23,0,23,1242,1242,1,1,2,0.522,0.00107,0.00042,n.d.,0.5217,0.000218,0.2709,n.a.,0.32,0,0.32,1.5826,n.s.,0.6287,n.s.,1.0149,n.s.,1.559
evm.TU.Chr2.191,#N/A,Chr2,533,       1-2034,23,0,23,2034,2034,2,2,3,0.577,0.00473,0.000315,n.d.,0.6403,0.000266,0.5419,n.a.,0.3347,0,0.3347,0.4052,n.s.,0.8437,n.s.,0.8322,n.s.,0.372
evm.TU.Chr2.192,rna-CPHLJ_2g1310,Chr2,534,       1-1407,23,0,23,1407,1407,1,1,2,0.237,0.01098,0.000169,n.d.,0.2372,0.000193,0.2709,n.a.,0.3304,0,0.3304,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.193,rna-CPHLJ_2g1330,Chr2,535,       1-1393,23,0,23,1393,1393,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3144,0,0.3144,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.194,0,Chr2,536,        1-485,23,0,23,485,485,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3031,0,0.3031,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.195,rna-CPHLJ_2g1340,Chr2,537,       1-1989,23,0,23,1989,1989,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3896,0,0.3896,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.196,#N/A,Chr2,538,       1-1275,23,0,23,1275,1275,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4071,0,0.4071,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.197,rna-CPHLJ_2g1370,Chr2,539,       1-2616,23,0,23,2616,2616,4,4,6,0.751,0.00317,0.000577,n.d.,1.5099,0.000414,1.0838,0.2043,0.3468,0,0.3468,1.0891,n.s.,1.0898,n.s.,1.259,n.s.,-0.827
evm.TU.Chr2.198,0,Chr2,540,        1-822,23,0,23,822,822,4,4,3,0.593,0.00349,0.002481,n.d.,2.0395,0.001318,1.0838,0.8009,0.3013,0,0.3013,2.4429,*   ,1.0898,n.s.,1.7006,*   ,3.538
evm.TU.Chr2.199,rna-CPHLJ_2g1390,Chr2,541,        1-570,23,0,23,570,570,1,1,2,0.522,0.00107,0.000915,n.d.,0.5217,0.000475,0.2709,n.a.,0.3596,0,0.3596,1.5826,n.s.,0.6287,n.s.,1.0149,n.s.,1.559
evm.TU.Chr2.200,rna-CPHLJ_2g1400,Chr2,542,       1-1824,23,0,23,1824,1824,1,1,2,0.498,0.00285,0.000273,n.d.,0.498,0.000149,0.2709,n.a.,0.3138,0,0.3138,1.4329,n.s.,0.6287,n.s.,0.9688,n.s.,1.47
evm.TU.Chr2.201,rna-CPHLJ_2g1410,Chr2,543,        1-459,23,0,23,459,459,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3725,0,0.3725,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.202,rna-CPHLJ_2g1420,Chr2,544,        1-789,23,0,23,789,789,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3371,0,0.3371,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.203,rna-CPHLJ_2g1425,Chr2,545,        1-801,23,0,23,801,801,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4245,0,0.4245,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.204,rna-CPHLJ_2g1430,Chr2,546,       1-1275,23,0,23,1275,1275,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3169,0,0.3169,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.205,rna-CPHLJ_2g1440,Chr2,547,        1-729,23,0,23,729,729,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.4019,0,0.4019,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.206,rna-CPHLJ_2g1450,Chr2,548,       1-1725,23,0,23,1725,1725,3,3,3,0.656,0.00237,0.000875,n.d.,1.5099,0.000471,0.8128,0.663,0.3383,0,0.3383,2.1864,*   ,0.9855,n.s.,1.5226,#   ,2.497
evm.TU.Chr2.207,rna-CPHLJ_2g1460,Chr2,549,       1-1920,23,0,23,1920,1920,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3391,0,0.3391,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.208,rna-CPHLJ_2g1470,Chr2,550,        1-555,23,0,23,555,555,1,1,2,0.237,0.01098,0.000427,n.d.,0.2372,0.000488,0.2709,n.a.,0.3367,0,0.3367,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.209,rna-CPHLJ_2g1480,Chr2,551,       1-1212,23,0,23,1212,1212,2,2,3,0.688,0.00133,0.000744,n.d.,0.9012,0.000447,0.5419,n.a.,0.306,0,0.306,1.4793,n.s.,0.8437,n.s.,1.1712,n.s.,1.114
evm.TU.Chr2.210,rna-CPHLJ_2g1490,Chr2,552,        1-945,23,0,23,945,945,3,3,3,0.656,0.00237,0.001614,n.d.,1.5257,0.00086,0.8128,0.663,0.3234,0,0.3234,2.2359,*   ,0.9855,n.s.,1.5385,#   ,2.53
evm.TU.Chr2.211,rna-CPHLJ_2g1500,Chr2,553,       1-1605,23,0,23,1605,1605,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3265,0,0.3265,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.212,rna-CPHLJ_2g1510,Chr2,554,       1-2388,23,0,23,2388,2388,1,1,2,0.514,0.00168,0.000215,n.d.,0.5138,0.000113,0.2709,n.a.,0.2879,0,0.2879,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr2.213,rna-CPHLJ_2g1520,Chr2,555,       1-1704,23,0,23,1704,1704,1,1,2,0.166,0.00952,0.000097,n.d.,0.166,0.000159,0.2709,n.a.,0.3497,0,0.3497,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr2.214,rna-CPHLJ_2g1530,Chr2,556,       1-1209,23,0,23,1209,1209,1,1,2,0.514,0.00168,0.000425,n.d.,0.5138,0.000224,0.2709,n.a.,0.2915,0,0.2915,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr2.215,rna-CPHLJ_2g1540,Chr2,557,        1-468,23,0,23,468,468,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3419,0,0.3419,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.216,rna-CPHLJ_2g1550,Chr2,558,       1-1528,23,0,23,1528,1528,3,3,4,0.664,0.00582,0.000528,n.d.,0.8063,0.000532,0.8128,0.0336,0.3066,0,0.3066,-0.0204,n.s.,0.9855,n.s.,0.8131,n.s.,-0.36
evm.TU.Chr2.217,rna-CPHLJ_2g1560,Chr2,559,       1-1617,23,0,23,1617,1617,2,2,3,0.68,0.00187,0.000567,n.d.,0.917,0.000335,0.5419,n.a.,0.2776,0,0.2776,1.5443,n.s.,0.8437,n.s.,1.1918,n.s.,1.154
evm.TU.Chr2.218,rna-CPHLJ_2g1570,Chr2,560,        1-924,23,0,23,924,924,3,3,4,0.735,0.00215,0.001155,n.d.,1.0672,0.00088,0.8128,0.1072,0.3563,0,0.3563,0.7978,n.s.,0.9855,n.s.,1.0762,n.s.,0.294
evm.TU.Chr2.219,rna-CPHLJ_2g1580,Chr2,561,        1-360,23,0,23,360,360,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3722,0,0.3722,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.220,rna-CPHLJ_2g1590,Chr2,562,       1-1815,23,0,23,1815,1815,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.357,0,0.357,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.221,rna-CPHLJ_2g1600,Chr2,563,       1-2538,23,0,23,2538,2538,3,3,4,0.668,0.00324,0.000492,n.d.,1.249,0.00032,0.8128,0.2354,0.3717,0,0.3717,1.3681,n.s.,0.9855,n.s.,1.2595,n.s.,0.682
evm.TU.Chr2.222,rna-CPHLJ_2g1610,Chr2,564,       1-1545,23,0,23,1545,1545,1,1,2,0.498,0.00285,0.000322,n.d.,0.498,0.000175,0.2709,n.a.,0.3375,0,0.3375,1.4329,n.s.,0.6287,n.s.,0.9688,n.s.,1.47
evm.TU.Chr2.223,rna-CPHLJ_2g1620,Chr2,565,        1-774,23,0,23,774,774,1,1,2,0.498,0.00285,0.000643,n.d.,0.498,0.00035,0.2709,n.a.,0.3574,0,0.3574,1.4329,n.s.,0.6287,n.s.,0.9688,n.s.,1.47
evm.TU.Chr2.224,rna-CPHLJ_2g1630,Chr2,566,        1-722,23,0,23,722,722,2,2,3,0.593,0.00349,0.00092,n.d.,0.664,0.000751,0.5419,n.a.,0.3234,0,0.3234,0.5029,n.s.,0.8437,n.s.,0.863,n.s.,0.447
evm.TU.Chr2.225,rna-CPHLJ_2g1640,Chr2,567,       1-2283,23,0,23,2283,2283,3,3,3,0.601,0.00285,0.00037,n.d.,0.8458,0.000356,0.8128,0.3822,0.348,0,0.348,0.1036,n.s.,0.9855,n.s.,0.853,n.s.,0.968
evm.TU.Chr2.226,rna-CPHLJ_2g1650,Chr2,568,       1-1422,23,0,23,1422,1422,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3319,0,0.3319,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.227,rna-CPHLJ_2g1660,Chr2,569,        1-501,23,0,23,501,501,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3473,0,0.3473,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.228,rna-CPHLJ_2g1670,Chr2,570,        1-342,23,0,23,342,342,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3567,0,0.3567,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.229,rna-CPHLJ_2g1680,Chr2,571,       1-1005,23,0,23,1005,1005,1,1,2,0.514,0.00168,0.000511,n.d.,0.5138,0.00027,0.2709,n.a.,0.3318,0,0.3318,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr2.230,rna-CPHLJ_2g1690,Chr2,572,        1-297,23,0,23,297,297,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3569,0,0.3569,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.231,rna-CPHLJ_2g1700,Chr2,573,        1-507,23,0,23,507,507,1,1,2,0.522,0.00107,0.001029,n.d.,0.5217,0.000534,0.2709,n.a.,0.3481,0,0.3481,1.5826,n.s.,0.6287,n.s.,1.0149,n.s.,1.559
evm.TU.Chr2.232,rna-CPHLJ_2g1720,Chr2,574,       1-1800,23,0,23,1800,1800,5,5,5,0.822,0.0011,0.001195,n.d.,2.1502,0.000753,1.3547,0.3537,0.2856,0,0.2856,1.7226,#   ,1.1708,n.s.,1.5372,#   ,1.128
evm.TU.Chr2.233,rna-CPHLJ_2g1730,Chr2,575,       1-1119,23,0,23,1119,1118,1,1,2,0.498,0.00285,0.000445,n.d.,0.498,0.000242,0.2709,n.a.,0.3107,0,0.3107,1.4329,n.s.,0.6287,n.s.,0.9688,n.s.,1.47
evm.TU.Chr2.234,rna-CPHLJ_2g1740,Chr2,576,       1-2319,23,0,23,2319,2319,3,3,4,0.656,0.00531,0.000528,n.d.,1.2253,0.000351,0.8128,0.2297,0.3707,0,0.3707,1.2937,n.s.,0.9855,n.s.,1.2356,n.s.,0.634
evm.TU.Chr2.235,rna-CPHLJ_2g1750,Chr2,577,       1-1416,23,0,23,1416,1416,3,3,4,0.557,0.01169,0.000452,n.d.,0.6403,0.000574,0.8128,0.017,0.3113,0,0.3113,-0.5411,n.s.,0.9855,n.s.,0.6457,n.s.,-0.88
evm.TU.Chr2.236,rna-CPHLJ_2g1760,Chr2,578,        1-984,23,0,23,984,984,1,1,2,0.237,0.01098,0.000241,n.d.,0.2372,0.000275,0.2709,n.a.,0.3497,0,0.3497,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.237,rna-CPHLJ_2g1770,Chr2,579,       1-1194,23,0,23,1194,1194,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.3827,0,0.3827,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr2.238,rna-CPHLJ_2g1780,Chr2,580,       1-1305,23,0,23,1305,1305,3,3,3,0.379,0.01359,0.000436,n.d.,0.5692,0.000623,0.8128,0.3429,0.3791,0,0.3791,-0.7643,n.s.,0.9855,n.s.,0.574,n.s.,0.137
evm.TU.Chr2.239,rna-CPHLJ_2g1790,Chr2,581,       1-3117,23,0,23,3117,3116,4,4,4,0.664,0.00582,0.000411,n.d.,1.2806,0.000348,1.0838,0.1702,0.2658,0,0.2658,0.5032,n.s.,1.0898,n.s.,1.0678,n.s.,0.746
evm.TU.Chr2.240,rna-CPHLJ_2g1800,Chr2,582,        1-987,23,0,23,987,987,1,1,2,0.237,0.01098,0.00024,n.d.,0.2372,0.000275,0.2709,n.a.,0.3859,0,0.3859,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr2.241,rna-CPHLJ_2g1810,Chr2,583,       1-1006,23,0,23,1006,1006,3,3,2,0.237,0.01098,0.000707,n.d.,0.7115,0.000808,0.8128,1,0.3468,0,0.3468,-0.3179,n.s.,0.9855,n.s.,0.7174,n.s.,2.216
